"Route Name","Driver Name","Zone","Ward","Vehicle No","Route Type","Delete","Download","View Route","Edit"
"W54R1","n/a","2-Bhuteswar","54-Pratap Nagar","M087  UP85AG0785","doorToDoor","undefined","undefined","undefined","undefined"
"W64R2","n/a","1-City","64-Ghati Bahalray","DL51GD9464","doorToDoor","undefined","undefined","undefined","undefined"
"W48R2","n/a","2-Bhuteswar","48-Satoha Asangpur","M257 UP85ET 7845","doorToDoor","undefined","undefined","undefined","undefined"
"W47R3","n/a","2-Bhuteswar","47-Dwarkapuri","M079   UP85AG0754","doorToDoor","undefined","undefined","undefined","undefined"
"W29R2","n/a","3-Aurangabad","29-Koyla Alipur","M253 UP85ET 7854","doorToDoor","undefined","undefined","undefined","undefined"
"W24R4(C)","n/a","2-Bhuteswar","24-Sarai Azamabad","M199  UP85AG0773_C","doorToDoor","undefined","undefined","undefined","undefined"
"W33R4","n/a","3-Aurangabad","33-Palikhera","M226 UP85AG0969","doorToDoor","undefined","undefined","undefined","undefined"
"W6R4","n/a","3-Aurangabad","06-Aduki","M273 UP85ET 7846","doorToDoor","undefined","undefined","undefined","undefined"
"W31R2","n/a","2-Bhuteswar","31-Navneet Nagar","M001 UP14PT7952","doorToDoor","undefined","undefined","undefined","undefined"
"W31R1","n/a","2-Bhuteswar","31-Navneet Nagar","M237 UP85ET 7866","doorToDoor","undefined","undefined","undefined","undefined"
"W31R3","n/a","2-Bhuteswar","31-Navneet Nagar","M039 UP14PT7949","doorToDoor","undefined","undefined","undefined","undefined"
"W67R2","n/a","4-Vrindavan","67-Kemar Van","M276 UP85ET 7857","doorToDoor","undefined","undefined","undefined","undefined"
"W67R3","n/a","4-Vrindavan","67-Kemar Van","M222 UP85AG0952","doorToDoor","undefined","undefined","undefined","undefined"
"W69R3","n/a","4-Vrindavan","69-Ratan Chhatri","M197 DL51GD9401_C","doorToDoor","undefined","undefined","undefined","undefined"
"W69R1","n/a","4-Vrindavan","69-Ratan Chhatri","M200 UP85AG0968","doorToDoor","undefined","undefined","undefined","undefined"
"W16R4","n/a","2-Bhuteswar","16-Bakalpur","M137  UP85AG0954","doorToDoor","undefined","undefined","undefined","undefined"
"W2R2(C)","n/a","1-City","02-Ambedkar Nagar","M092 UP14PT7727_C","doorToDoor","undefined","undefined","undefined","undefined"
"W53R1","n/a","1-City","53-Krishna puri","M055 UP85AG0891_C","doorToDoor","undefined","undefined","undefined","undefined"
"W55R3","Bhim (kabirabhaibhim)","2-Bhuteswar","55-Govind Nagar","M017 UP14PT7724","doorToDoor","undefined","undefined","undefined","undefined"
"W55R2","n/a","2-Bhuteswar","55-Govind Nagar","MUP85AG0798","doorToDoor","undefined","undefined","undefined","undefined"
"W44R2","n/a","2-Bhuteswar","44-Radhika Bihar","M026 UP14PT7718","doorToDoor","undefined","undefined","undefined","undefined"
"W16R1","n/a","2-Bhuteswar","16-Bakalpur","M129   UP85AG0780","doorToDoor","undefined","undefined","undefined","undefined"
"W26R1","n/a","1-City","26-Naya Nagla","55670","doorToDoor","undefined","undefined","undefined","undefined"
"W26R2","n/a","1-City","26-Naya Nagla","M228 UP85AG0775","doorToDoor","undefined","undefined","undefined","undefined"
"W18R1","n/a","1-City","18-General ganj","M101  UP85AG0751","doorToDoor","undefined","undefined","undefined","undefined"
"W18R3","n/a","1-City","18-General ganj","M174 UP85AG0771","doorToDoor","undefined","undefined","undefined","undefined"
"W3R1","n/a","2-Bhuteswar","03-Girdharpur","M126  UP85AG0799","doorToDoor","undefined","undefined","undefined","undefined"
"W3R2","n/a","2-Bhuteswar","03-Girdharpur","M126  UP85AG0799","doorToDoor","undefined","undefined","undefined","undefined"
"W9R2","n/a","4-Vrindavan","09-Gandhi Nagar","M278 UP85ET 7840","doorToDoor","undefined","undefined","undefined","undefined"
"W66R1","n/a","4-Vrindavan","66-Keshighat","M264 UP85ET 7867","doorToDoor","undefined","undefined","undefined","undefined"
"W59R2","n/a","3-Aurangabad","59-Maholi Second","M233 UP85ET 7835","doorToDoor","undefined","undefined","undefined","undefined"
"W57R1","n/a","3-Aurangabad","57-Balajipuram","M102   UP85AG0758","doorToDoor","undefined","undefined","undefined","undefined"
"W38R2","n/a","3-Aurangabad","38-Civil lines","M024 UP14PT7999","doorToDoor","undefined","undefined","undefined","undefined"
"W32R1","n/a","3-Aurangabad","32-Ranchibagar","CH55499","doorToDoor","undefined","undefined","undefined","undefined"
"W22R2","n/a","1-City","22-Badhri Nagar","M157   UP85AG0913(ER)","doorToDoor","undefined","undefined","undefined","undefined"
"W21R3","n/a","4-Vrindavan","21-Chaitanya Bihar","M105   UP85AG0800","doorToDoor","undefined","undefined","undefined","undefined"
